Date, Crawling_Duration, Branching_Times, People_Found, Keyword, Added_URIs, People_Required, From_Country
13/05/15 01:49:21,57.86132123,0,50,Basketball,50,50,0
13/05/15 01:50:27,66.367163544,9,50,Players,47,50,0
13/05/15 01:51:38,25.688863415,0,23,Champion,23,23,0
13/05/15 01:52:09,30.557700717,4,23,League,23,23,0
13/05/15 01:52:25,16.433251795,8,6,Football,3,23,0
13/05/15 01:56:22,113.673020494,0,100,Dance,100,100,0
13/05/15 01:58:24,121.644111012,15,91,Ballet,88,100,0
13/05/15 02:06:05,277.05432018,0,250,Cyprus,250,250,1
13/05/15 02:09:32,58.558021993,15,38,Red,372,50,0
13/05/15 02:10:32,59.320375947,15,37,Garden,33,50,0
13/05/15 02:11:32,59.97031767,3,50,City,46,50,0
13/05/15 02:15:17,122.793816241,9,100,Angola,95,100,1
13/05/15 02:18:41,112.453213741,0,100,Bahrain,100,100,1
13/05/15 02:21:54,57.431220616,0,50,Burundi,50,50,1
13/05/15 02:22:58,30.557434326,2,25,Lord,476,25,0
13/05/15 02:23:34,35.810630575,8,25,OF,25,25,0
13/05/15 02:23:41,6.605707825,5,0,English_articles,0,25,0
13/05/15 02:24:15,33.995948353,15,15,Ring,12,25,0
13/05/15 02:25:25,22.90579207,7,13,Marvel,13,13,0
13/05/15 02:25:29,3.289605295,2,0,The_Avengers,0,13,0
13/05/15 02:26:00,29.940443467,14,13,Heroes,12,13,0
13/05/15 02:27:13,44.990338964,9,33,America,28,33,0
13/05/15 02:27:51,37.440911549,1,33,Comics,33,33,0
13/05/15 02:28:26,35.001587192,15,16,Character,8,33,0
13/05/15 02:30:27,11.47031767,0,10,Comics,0,10,0
13/05/15 02:30:43,15.63009624,4,10,Character,7,10,0
13/05/15 02:46:33,278.445415213,0,250,Colombia,250,250,1
13/05/15 16:27:51,118.865656377,15,83,Cake,696,83,0
13/05/15 16:29:42,107.145353076,9,83,Process,80,83,0
13/05/15 16:31:44,50.379518481,15,29,Security,21,33,0
13/05/15 16:32:10,22.048976964,6,12,Guard,6,33,0
13/05/15 16:32:18,4.645931816,3,0,Staff,0,33,0
13/05/15 16:33:15,3.391998658,2,0,Famous,0,50,0
13/05/15 16:34:22,63.59113309,1,50,English,50,50,0
13/05/15 16:35:29,62.637154775,0,50,Poet,49,50,0
13/05/15 16:37:28,88.412563351,7,70,English,29,70,0
13/05/15 16:38:56,82.788222968,0,70,Poet,20,70,0
13/05/15 16:41:02,67.354695561,4,50,Power_(social_and_political),44,50,0
13/05/15 16:42:10,62.978633013,2,50,Middle_Ages,32,50,0
13/05/15 16:43:16,60.871456275,0,50,Monarch,50,50,0
13/05/15 16:45:46,11.547927021,3,6,European,3,96,0
13/05/15 16:47:10,77.586549574,15,48,Parliament,48,96,0
13/05/15 16:47:24,7.766890786,3,2,Deputy,1,96,0
13/05/15 16:49:34,31.164702281,0,25,Europe,25,25,0
13/05/15 16:50:27,44.952260835,12,25,Parliament,25,25,0
13/05/15 16:54:44,35.926311224,15,14,Popular,1193,33,0
13/05/15 16:55:33,41.553546201,2,33,Social,33,33,0
13/05/15 16:56:29,50.462148952,6,33,Media,31,33,0
13/05/15 16:59:12,9.143597221,4,3,Great,3,96,0
13/05/15 17:01:16,114.48558459,0,96,Physics,96,96,0
13/05/15 17:03:21,116.477937364,0,96,Invention,96,96,0
13/05/15 17:06:48,3.605655591,2,0,Importance,1452,50,0
13/05/15 17:07:52,57.409417985,0,50,Physics,0,50,0
13/05/15 17:08:59,59.901172384,0,50,Invention,0,50,0
13/05/15 17:12:59,188.679019969,0,150,Mathematician,143,150,0
13/05/15 17:16:36,210.138080224,0,150,Scientist,148,150,0
