Date, Crawling_Duration, Branching_Times, People_Found, Keyword, Added_URIs, People_Required, From_Country
13/05/15 01:49:21,57.86132123,0,50,Basketball,50,50,0
13/05/15 01:50:27,66.367163544,9,50,Players,47,50,0
13/05/15 01:51:38,25.688863415,0,23,Champion,23,23,0
13/05/15 01:52:09,30.557700717,4,23,League,23,23,0
13/05/15 01:52:25,16.433251795,8,6,Football,3,23,0
13/05/15 01:56:22,113.673020494,0,100,Dance,100,100,0
13/05/15 01:58:24,121.644111012,15,91,Ballet,88,100,0
13/05/15 02:06:05,277.05432018,0,250,Cyprus,250,250,1
13/05/15 02:09:32,58.558021993,15,38,Red,372,50,0
13/05/15 02:10:32,59.320375947,15,37,Garden,33,50,0
13/05/15 02:11:32,59.97031767,3,50,City,46,50,0
13/05/15 02:15:17,122.793816241,9,100,Angola,95,100,1
13/05/15 02:18:41,112.453213741,0,100,Bahrain,100,100,1
13/05/15 02:21:54,57.431220616,0,50,Burundi,50,50,1
13/05/15 02:22:58,30.557434326,2,25,Lord,476,25,0
13/05/15 02:23:34,35.810630575,8,25,OF,25,25,0
13/05/15 02:23:41,6.605707825,5,0,English_articles,0,25,0
13/05/15 02:24:15,33.995948353,15,15,Ring,12,25,0
13/05/15 02:25:25,22.90579207,7,13,Marvel,13,13,0
13/05/15 02:25:29,3.289605295,2,0,The_Avengers,0,13,0
13/05/15 02:26:00,29.940443467,14,13,Heroes,12,13,0
13/05/15 02:27:13,44.990338964,9,33,America,28,33,0
13/05/15 02:27:51,37.440911549,1,33,Comics,33,33,0
13/05/15 02:28:26,35.001587192,15,16,Character,8,33,0
13/05/15 02:30:27,11.47031767,0,10,Comics,0,10,0
13/05/15 02:30:43,15.63009624,4,10,Character,7,10,0
13/05/15 02:46:33,278.445415213,0,250,Colombia,250,250,1
